productType,productName,price,url,description,terrain,abilityLevel,rockerType,turningRadius,tailType,materials,warranty
Ski,Rossignol Black Ops 118 Tatum Skis 2023,$799.95,https://www.evo.com/skis/rossignol-black-ops-118-tatum,"Finding the right combination of playful surfiness and straightline stability in a pow ski is as tough as fishing a Rainbow out of the creek with your bare hands, but Rossi nailed it with the Rossignol Black Ops 118 Tatum Skis. Tatum Monod's signature ride is a straight-up 176 men's ski (have you seen her vids?) featuring a one-of-a-kind graphic by David Habben. Get them now before they're gone.","Big Mountain, Powder",Advanced-Expert,Rocker/Camber/Rocker,Long,Partial Twin Tip,Wood,1 Year
Ski,Nordica SUV 84 ​+ TP2 Compact FDT Ski Bindings 2023,$599.99,https://www.evo.com/ski-packages/nordica-suv-84-tp2-compact-fdt-bindings,"Not your standard beginner setup by any means, the Nordica SUV 84 + TP2 Compact FDT Ski Bindings package is built exclusively for evo by one of the top factories in the business. With a solid all-mountain 84mm waist width to make those surprise overnight dumps a pleasure and with excellent hard snow handling and edge hold to boot, the SUV 84 is suitable for intermediate to advanced skiers. These come complete with Marker TP2 Compact FDT bindings for the most dependable boot-ski connection on the planet and ready to go anywhere on the mountain. Don't wait, these sold out in a hurry last season.",All-Mountain,Intermediate-Advanced,Rocker/Camber,Short,Flat,Wood,1 Year
Ski,Head Absolut Joy SW SLR Pro Skis ​+ Joy 9 GW Bindings - Women's 2023,$649.00,https://www.evo.com/ski-packages/head-absolut-joy-sw-slr-pro-skis-9-gw-bindings,"Elevate your time on groomers as well as the occasional off-piste adventure with the Head Absolut Joy SW SLR Pro Skis + Joy 9 GW Bindings package combo. A fun and approachable option for intermediate to advanced skiers, the Absolut Joy SW SLR Pro Skis feature a 79mm waist width with Allride rocker in the tips and camber underfoot for a wonderous blend of edgehold and easy turn initiation. Ideal for firmer snow conditions, this package is poised to boost your confidence on groomers from the get-go!","Carving, All-Mountain",Intermediate-Advanced,Rocker/Camber,Short,Flat,"Graphene, Polyurethane (PU), Wood",1 Year
Ski,Nordica Enforcer 94 Skis 2023,$749.99,https://www.evo.com/skis/nordica-enforcer-94-2023,"The Enforcer line has become something of a cult classic by now. They're just so good, and with a wide range of widths available, there's one that's just right for every set of daily conditions. As the mid skinny option in the lineup, the Nordica Enforcer 94 Skis are an ideal daily driver for East Coast riders or those who tend to find themselves in firmer conditions. They're built around two sheets of titanal and a reinforced carbon chassis that makes them exceptionally precise, quick, and powerful snapping off turns edge to edge.",All-Mountain,Advanced-Expert,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Black Crows Anima Skis 2023,$999.95,https://www.evo.com/skis/black-crows-anima-2023,"The Black Crows Anima Skis are wild things. Anyone seeking to tame them should simply look for a different ski. This is a ski that needs to be let loose, and laughs at attempts to simmer it down. But if you can prove yourself to be as fearsome, as bold, and as uncouth as the Anima, you'll never find a more reliable partner in crime. This big mountain ski is designed for Freeride World Tour descents, with the blend of soft snow handling, firm snow precision, balance in the air, and power through crud that you need to send huge lines and ride out the other side.","Big Mountain, Powder",Advanced-Expert,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Aramid (Kevlar®), Carbon, Wood",2 Years
Ski,Black Crows Vertis Birdie Skis - Women's 2023,$749.95,https://www.evo.com/skis/black-crows-vertis-birdie-womens-2023,"The Black Crows Vertis Skis are smooth turning, short radius carving skis that turn every day into a vert staking festival. If you live for hot lapping groomers and feeling the flow of one turn blending into the next, the Vertis will help you unlock a deeper carver and a tighter arc than ever before. These are the perfect everyday resort ski for making the most of any piste, any time.","Carving, All-Mountain",Intermediate-Advanced,Rocker/Camber,Short,Flat,Wood,2 Years
Ski,Black Crows Junius Birdie Skis - Kids' 2023,$259.95,https://www.evo.com/skis/black-crows-junius-birdie-kids-2023,"The Black Crows Junius Birdie Skis are the perfect learning tools for new skiers. These little, lightweight skis feature a soft flex, plenty of catch-free rocker in the tip and tails, and a nice short turn radius for easy carving. They encourage having fun, trying new things, falling and getting back up, and trying and having fun all over again. Also available with a blue topsheet under the name Junius.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Full Twin Tip,Foam,2 Years
Ski,Fischer Ranger 116 Skis 2023,$949.99,https://www.evo.com/skis/fischer-ranger-116,"Powder? More like power. The all new Fischer Ranger 116 Skis are top notch freeride sticks made for the steep and extra deep. Strong, clean, fresh, and with a straightforward design that caters to the hard-charging big mountain skier. The Ranger 116 is made with Fischer's directional Freeski Rocker and a lightweight and responsive woodcore with titanal metal underfoot, which gives you a maneuverable and manageable platform to send the tricks of your dreams. There are those who ski leisurely and then there are those who ""charge,"" the Fischer Ranger 116 is for the latter.","Big Mountain, Powder",Advanced-Expert,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Metal, Wood",2 Years
Ski,Season Pass Skis 2023,$799.00,https://www.evo.com/skis/season-pass,"Introducing a backcountry ski for the most creative, pow-hungry earn-your-turners in the land, the Season Pass Skis are a wider, lighter take on the ultra-versatile Nexus skis, because the crew at Season know why you tour. Built with an ultra-light woodcore of Poplar and Paulownia and a nearly symmetrical twin shape, the Pass is light enough for full days on the trail but stout enough to shred hard on the way down. Never has there been such a wealth of options for skiing beyond the confines of the resort - the Season Pass pushes the envelope for the most playful and imaginative among us.","Big Mountain, Alpine Touring",Intermediate-Advanced,Rocker/Camber/Rocker,Short,Full Twin Tip,Wood,Limited Lifetime
Ski,Völkl Secret 96 Skis - Women's 2023,$749.99,https://www.evo.com/skis/volkl-secret-96-womens-2023,"We're not sure why they keep using this name, because the word's out. The Völkl Secret 96 Skis are the ripper skier's best friend, and the closest thing to a race ski that'll easily handle every snow condition on the mountain. The previous version of this ski was no slouch, but with the addition of the Tailored Titanal tip and Tailored Carbon Tips the Secret becomes calmer and more manageable without losing any of its inner strength or ability to track cleanly at speed. An amazing ski that responds best to a confident driver, the Secret 96 belongs in your quiver even if it's a quiver of one.",All-Mountain,Advanced-Expert,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Völkl Revolt 86 Temple Skis 2023,$399.99,https://www.evo.com/skis/volkl-revolt-86-2,"Session the park for a while, rip some groomers for a while, play in the trees a bit - all part of the game for the Völkl Revolt 86 Skis. A versatile all-mountain twin shape that also rips in the park, the Revolt 86 comes in two awesome graphic options and may be the best bang-for-the-buck choice for freestyle-oriented rippers on a budget.","Park & Pipe, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,Wood,1 Year
Ski,Völkl Mantra Junior Skis - Kids' 2023,$329.99,https://www.evo.com/skis/volkl-mantra-junior-kids,"There comes a time in every parent's life when they look up the hill and go, ""There's a good skier . . . wait a minute, that's my kid!"" That's the moment you know they need real ski, and no company does it better than Völkl. The Völkl Mantra Junior Skis, as one might expect, emulate the power and precision of the adult Mantra skis, but without the Titanal frame or carbon webbing. They still offer rock solid Full Sidewall construction and the Power Construction layup, and deliver the kind of performance good kids deserve.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,Wood,1 Year
Ski,Völkl Blaze 94 Skis 2023,$599.99,https://www.evo.com/skis/volkl-blaze-94-2023,"Lightweight alpine ski that's quick and nimble enough for tight trees and technical terrain? Touring ski with enough guts to ski with confidence in tough terrain and variable snow? The Völkl Blaze 94 Skis are both. Amazingly stable and confident for their light weight, experienced backcountry skiers as well as inbounds riders who prefer their sticks on the light and maneuverable side are both finding the Blaze 94 hits a sweet spot they'd never known existed. A full sidewall construction with just a bit of Titanal underfoot and Völkl's proven 3D Radius add up to a package that's yearning to turn and capable anywhere on the mountain.","All-Mountain, Alpine Touring",Intermediate-Advanced,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Metal, Wood",1 Year
Ski,Black Crows Camox Birdie Skis - Women's 2023,$799.95,https://www.evo.com/skis/black-crows-camox-birdie-womens-2023,"The Black Crows Camox Birdie Skis embody the soul of all-mountain resort riding. These skis are meant to enable fun, stylish skiing all across any resort in any conditions. They do this with a versatile 97mm waist width, a smooth yet stable flex profile, and a perfectly honed directional rocker profile with camber underfoot and rocker on either end. It's a ski that's playful, poppy, poised, and very easy to get along with.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,Wood,2 Years
Ski,Nordica Enforcer 88 Skis 2023,$699.99,https://www.evo.com/skis/nordica-enforcer-88-2023,"Looking for a frontside ski that rails like Lewis Hamilton at Monza but doesn't make you feel like a quitter when it's late in the day and your legs are noodles? Check out the Nordica Enforcer 88 Skis, a ride with a race pedigree built by people who know you're still human and maybe don't want to work that hard all day long.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Metal, Wood",1 Year
Ski,Nordica Enforcer 104 Free Skis 2023,$799.99,https://www.evo.com/skis/nordica-enforcer-104-free-2023,"The Nordica Enforcer 104 Free Skis are built for the uninhibited. For the rider who sees corduroy as a straight-jacket, and who finds the flowing pathways through moguls and trees to be a bit more friendly on the mind. These freeride sticks bring you all of the power and versatility of the fabled Enforcer line, but with a touch more rocker and a touch less metal, which helps them bend past the rules prescribed by traditional ski shaping, and find surfy lines through powder and off piste terrain. If you love the Enforcer 100s but wish they were a little more progressive and playful, this is your ski.","All-Mountain, Big Mountain",Advanced-Expert,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Black Crows Camox Freebird Skis 2023,$799.95,https://www.evo.com/skis/black-crows-camox-freebird,"The Black Crows Camox Freebird Skis make the backcountry more accessible than ever before. These super light touring skis offer easier handling that almost any touring ski on the market, with a smooth directional design and moderate flex. The 95mm waist width is versatile and nimble through the varied conditions you're likely to find beyond the reach of groomers and ski patrollers, making this an awesome choice for experienced riders to expand their repertoire. They pair well with sturdy touring bindings, a well-rounded avalanche education, and a knowledgeable ski partner.",Alpine Touring,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Carbon, Metal, Wood",2 Years
Ski,Black Crows Navis Freebird Skis 2023,$899.95,https://www.evo.com/skis/black-crows-navis-freebird,"The Black Crows Navis Freebird Skis are all-around excellent tools for any human powered mission. Built for versatility, this 102-waisted ski is exactly what most riders are looking for in an all season touring ski. It's built with a directional freeride shape, plenty of camber underfoot, and just enough rocker in the tip to plane over mixed snow surfaces. Pair that do-everything design with a featherweight layup that's designed for hybrid binding compatibility, and it's easy to see why so many skiers look to the Navis anytime they hit the skin track.",Alpine Touring,Intermediate-Advanced,Rocker/Camber,Medium,Flat,"Carbon, Metal, Wood",2 Years
Ski,Black Crows Junius Skis - Kids' 2023,$259.95,https://www.evo.com/skis/black-crows-junius-kids-2023,"The Black Crows Junius Skis are the perfect learning tools for new skiers. These little, lightweight skis feature a soft flex, plenty of catch-free rocker in the tip and tails, and a nice short turn radius for easy carving. They encourage having fun, trying new things, falling and getting back up, and trying and having fun all over again. Also available with a pink topsheet under the name Junius Birdie.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Full Twin Tip,Foam,2 Years
Ski,Black Crows Atris Birdie Skis - Women's 2023,$899.95,https://www.evo.com/skis/black-crows-atris-birdie-womens-2023,"The Atris Birdie is one of the most popular birds in the Black Crows' flock. This traditionally cambered freeride ski has one of the most balanced skill sets around. It is the quintessential playful charger, providing excellent high end performance in freeride-style lines, while also remaining smooth and accessible for all-mountain endeavors. With a 105 width that's floaty enough for powder days and maneuverable enough for groomers, the Black Crows Atris Birdie Skis are an excellent choice for competent all-mountain skiers looking to tackle any day of the season.","All-Mountain, Big Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,Wood,2 Years
Ski,K2 Midnight Skis 2023 - Women's,$449.95,https://www.evo.com/skis/k2-midnight,"Swift and stealthy, the K2 Midnight Skis come alive in the park like a thief in the night. All-Terrain Rocker adds control to the setup so it can coast you through variable conditions while the aspen wood core keeps things light and sturdy. Practice makes perfect, and thanks to the durable sidewall construction, you can lap the park till you absolutely stomp the landing. We think you're raily, raily gonna like this one.","Park & Pipe, All-Mountain",Advanced-Expert,Rocker/Camber/Rocker,Short,Full Twin Tip,"Carbon, Wood",2 Years
Ski,Line Skis Pandora 110 Skis - Women's 2023,$799.95,https://www.evo.com/skis/line-pandora-110-womens-2023,"From big mountain descents to powdery tours, the Line Skis Pandora 110 Skis are designed to be with you on the best days of the season. These full on freeride sticks are built with Line's ultra lightweight THC construction, which makes them a breeze to bring up the skin track, and a hurricane to bring down the fall line. They're fast and directional when charging through chop, yet light and effortless to flick, bounce, and pivot through deep power and tight terrain.","All-Mountain, Big Mountain, Powder, Alpine Touring",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Aramid (Kevlar®), Carbon, Wood",2 Years
Ski,Line Skis Vision 98 Skis 2023,$749.95,https://www.evo.com/skis/line-vision-98,"The Line Skis Vision 98 Skis can handle it. ""Handle what?"" you're asking yourself. Doesn't matter. The Vision 98 Skis have got it. Looking for an everyday resort ski? The Vision 98 is fast, predicable, incredibly versatile. Looking to get crazy on some park jumps? The Vision 98 is balanced, playful, nearly symmetrical. Looking for a fast and light touring ski? The Vision 98 weighs just over 1500 grams. That's crazy light. Wherever you need nimble, lightweight, performance and standout adaptability, the Line Skis Vision 98 Skis have got you covered.","All-Mountain, Alpine Touring",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,"Aramid (Kevlar®), Carbon, Wood",2 Years
Ski,K2 Reckoner 102 Skis 2023,$649.95,https://www.evo.com/skis/k2-reckoner-102-2023,"A full twin tip that's ready to whip pow to park, sunrise till sunset? Yes please. The K2 Reckoner 102 Skis thrive in just about every environment. Whether you're finding good air in side hit city, carving on edge through the ice coast, or dropping cork threes with your eyes closed, this all-terrain twin rocker ripper gives you all the versatility you could hope for, with enough pop and play to keep things interesting.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,"Carbon, Wood",2 Years
Ski,Line Skis Blend Skis 2023,$649.95,https://www.evo.com/skis/line-blend-2023,"Built as an all around platform for park skiing and playful riding, the Line Skis Blend Skis will help you expand your trick game whether you're a seasoned vet or an up-and-comer. The flex is smooth and pliable, but with plenty of snap and rebound. They're a freestyle staple for a reason, and you're sure to find your own favorite way to pop, press, spin, and slide the Blends through your local park.","Park & Pipe, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,"Carbon, Wood",2 Years
Ski,K2 Mindbender Team Jr Skis - Kids' 2023,$399.95,https://www.evo.com/skis/k2-mindbender-team-jr-kids,"For the junior senders who like to roll with the big dogs, the K2 Mindbender Team Jr Skis are your ticket to shred town. With a responsive Aspen Veneer core and versatile All-Terrain Rocker, they are made to last through rugged freeride terrain. Coming in at 98mm underfoot, these skis are geared up to be the do-it-all, smack the lip, carve through crud kind of ski that fosters progression from opening day till the end of the season. Time to bust it down and tear it up.","Big Mountain, Powder",Intermediate-Advanced,Rocker/Camber/Rocker,Short,Flat,Wood,2 Years
Ski,Line Skis Sir Francis Bacon Skis 2023,$749.95,https://www.evo.com/skis/line-sir-francis-bacon,"By now, this ski needs no introduction. The Line Skis Sir Francis Bacon Skis have inspired generations of fun-loving all-mountain freestyle skis, and generations of fun-loving all-mountain skiers. They feature a silky smooth flex pattern that's just stiff enough to hold up to explosive resort skiing and just soft enough to absolutely butter the popcorn out of. They have convex tips and tails that beg to be smeared around, and a spring-loaded core that turns every roller into a trampoline waiting to happen. This is the ski that Line made their name on, and it continues to be one of the most fun all-mountain rides in the business.",All-Mountain,Intermediate-Advanced,Rocker/Camber/Rocker,Short,Full Twin Tip,Wood,2 Years
Ski,Armada Declivity 102 Ti Skis 2023,$799.95,https://www.evo.com/skis/armada-declivity-102-ti-2023,"The Armada Declivity 102 Ti Skis are perfect for a hard charging East Coast skier, or anyone who like to go fast and tends more toward the frontside end of the spectrum. With plenty of metal in the build, a directional shape, and a lightweight Caruba core, these skis are lively, damp, and powerful without being overly demanding. They're high speed fun for any day you want it.",All-Mountain,Advanced-Expert,Rocker/Camber,Medium,Flat,"Metal, Wood",2 Years
Ski,Atomic Bent Chetler Mini Skis - Kids' 2023,$299.95 - $349.95,https://www.evo.com/skis/atomic-bent-chetler-mini-little-kids,"When they start asking to follow you out the backcountry gate, you know it's time to look into the best kid's freeride tool available: the Atomic Bent Chetler Mini Skis. The 90mm waist and Powder Rocker profile provide plenty of surface area to float growing bodies, while lightweight Dura Cap construction keeps the weight down and the maneuverability high. Dial up a few Kai Jones videos and get your kid ready for the time of their life.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Partial Twin Tip,Composite,2 Years
Ski,Armada ARW 96 Skis - Women's 2023,$549.95,https://www.evo.com/skis/armada-arw-96-womens,"Skiing is fun. It's a fact. Flying down the mountain, biting your edges into the snow, snaking between the trees, feeling the wind hit your face and the gravity hit your toes. There's nothing like it and that is an objective truth. The Armada ARW 96 Skis are built as an homage to this unarguable fact. They're not specialized tools for mountaineering first descents or maximum hardcoreness, but if you're trying to go to the resort and have one heck of a time, there's nothing better. These all mountain freestyle skis are at home in the park, on the steeps, or on the groomers. They're poppy, dependable, and just plain fun.","Park & Pipe, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,Wood,2 Years
Ski,Nordica Santa Ana 98 Skis - Women's 2023,$749.99,https://www.evo.com/skis/nordica-santa-ana-98-womens-2023,"The Nordica Santa Ana 98 Skis might just be the most versatile women's skis ever made. It's hard to make something so universally beloved by pros and everyday skiers alike, but Nordica has done it. The middle child of the Santa Ana family is a blend of lightweight and powerful, with tons of grip and drive for confidence down the fall line, but a surprisingly quick and intuitive feel when carving turns at slower speeds. It rewards good technique without punishing the occasional lapse in form, and performs well in the full spectrum of snow conditions, making it an ideal one-ski quiver for skiers that want to ride it all.",All-Mountain,Advanced-Expert,Rocker/Camber/Rocker,Short,Partial Twin Tip,"Carbon, Metal, Wood",1 Year
Ski,Black Crows Atris Jr Skis - Kids' 2023,$629.95,https://www.evo.com/skis/black-crows-atris-jr-kids,"The Black Crows Atris Jr Skis are built for kids on their way to big things. These excellent all-mountain skis have the chops to hang with kids talking the toughest lines at the resort, as well as a smooth turning soul that encourages progression and creativity. This combination makes them a perfect learning ski that they won't grow out of once their skills are starting to take off. It's smooth, stable, and consistent on any kind of terrain from the groomers to the steep and deep.","All-Mountain, Big Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Partial Twin Tip,Wood,2 Years
Ski,K2 Disruption 76 Skis ​+ M2 10 Bindings 2023,$449.95,https://www.evo.com/ski-packages/k2-disruption-76-skis-m2-10-bindings-2023,"The K2 Disruption 76 Skis + M2 10 Bindings are entry-level groomer skis with above average construction and attention to detail. Borrowing the same shaping philosophy as the rest of the Disruption family, these skis swap out for flexible materials and a catch free rocker profile. They're straightforward to pilot, smooth on edge, and make carving across groomers easier than ever.",Carving,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Flat,Composite,2 Years
Ski,K2 Disruption 75 Skis ​+ ERP 10 Bindings - Women's 2023,$449.95,https://www.evo.com/ski-packages/k2-disruption-75-skis-m2-10-bindings-womens,"The K2 Disruption 75 Skis + ERP 10 Bindings are entry-level groomer skis with above average construction and attention to detail. Borrowing the same shaping philosophy as the rest of the Disruption family, these skis swap out for flexible materials and a catch free rocker profile. They're straightforward to pilot, smooth on edge, and make carving across groomers easier than ever.",Carving,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Flat,Composite,2 Years
Ski,K2 Mindbender 85 Skis 2023,$399.95,https://www.evo.com/skis/k2-mindbender-85-2023,"If rentals just aren't cutting it anymore and you're feeling confident that it's time for an upgrade, the K2 Mindbender 85 Skis are your next step towards continual improvement. This lightweight, forgiving and intuitive setup helps you inch out of your confront zone to tackle new parts of the mountain and have loads of fun doing so. The agility of these skis will help spark confidence in your skills while you take to more challenging terrain, getting you pumped for what's to come.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Short,Partial Twin Tip,Wood,2 Years
Ski,K2 Reckoner 112 Skis 2023,$749.95,https://www.evo.com/skis/k2-reckoner-112-2023,"Bounce from treetop pillows? Check. Slash two feet of fresh powder? Check. Cut through crud like butter? Check. The list goes on for the K2 Reckoner 112 Skis. These all purpose, free-style friendly rippers take you from hucking natural features on the frontside to steep and deep descents on the back withough missing a beat. With impact resistance tech in the core and woven carbon stringers throughout, these skis have an energetic rebound so you can stay out all day giving it heck.","All-Mountain, Big Mountain",Advanced-Expert,Rocker/Camber/Rocker,Long,Full Twin Tip,"Carbon, Wood",2 Years
Ski,K2 Poacher Skis 2023,$549.95,https://www.evo.com/skis/k2-poacher-2023,"This old friend of freestyle is back and better than ever. For rail assassins that make the city their playground all the way to the tip-top of the podium, the K2 Poacher Skis undoubtedly bring the heat. Their burly build and woven carbon stringers from tip to tail bring out the super stable yet energetic personality that makes them a strong contender in competition. Time to send 'er deep, bud!","Park & Pipe, All-Mountain",Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,"Carbon, Wood",2 Years
Ski,Line Skis Honey Badger Skis 2023,$399.95,https://www.evo.com/skis/line-honey-badger-2023,"Okay, okay, we all know that the honey badger don't care. And if you don't know by now that the Line Skis Honey Badger Skis are one of the best freestyle skis around, then we don't know where you've been sleeping. If you're looking to progress your park game, chances are someone has recommended this ski to you. And they were right! It offers some of the best bang for buck around, with high level performance on rails, jumps, and boxes, plus out-of-this-world durability. These Honey Badgers are crazy!",Park & Pipe,Intermediate-Advanced,Rocker/Camber/Rocker,Medium,Full Twin Tip,"Carbon, Wood",2 Years
